ID,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5
6632881021,7,7,8,5,9
6633729721,10,7,9,9,5
6633314321,5,10,7,5,10
6637977621,10,9,8,6,6
6633156621,8,9,9,7,6
6636945021,7,8,8,6,8
6637377821,8,6,7,10,8
6639519221,5,8,9,9,7
6636989521,10,9,10,8,8
6631740221,10,7,8,7,7
6634264621,5,10,10,7,5
6636159721,5,8,10,7,7
6634014121,6,7,9,6,6
6639111821,10,7,10,8,9
6634085421,9,7,7,5,8
6638352721,5,10,10,8,7
6634553921,5,9,9,5,5
6637225521,9,8,10,5,9
6632989821,5,9,6,9,6
6631644521,9,7,6,5,5
6632370721,5,10,10,8,5
6638262021,5,5,7,8,6
6637505421,10,7,7,10,6
6631013321,7,9,5,10,7
6631343821,8,6,8,7,5
6631579221,7,6,7,5,5
6637843221,7,5,9,9,9
6636355021,7,9,9,8,5
6634946621,6,8,6,6,9
6639858321,10,6,5,10,7
6636655221,6,8,6,6,9
6636804421,7,6,6,9,9
6634491121,6,5,8,9,5
6635157121,5,7,9,9,9
6636509721,7,6,8,7,7
6635619121,7,6,5,6,6
6633975421,10,8,8,8,5
6636885321,6,8,10,7,5
6634903221,5,8,7,10,6
6636933621,8,10,5,10,7
6638833621,9,5,9,8,8
6636604421,7,5,8,10,5
6635309721,5,6,10,6,9
6632880021,5,7,10,6,10
6635785021,7,7,10,6,6
6636553521,5,9,9,7,5
6633353021,9,5,7,5,7
6634329321,5,6,8,5,7
6631722021,7,7,5,10,10
6632843421,7,8,7,5,9
6635444921,7,10,10,5,10
6632235521,6,9,5,10,6
6635803321,8,10,6,6,5
6633706521,5,8,6,7,5
6639978021,5,6,8,6,10
6636257121,5,10,7,6,7
6631981021,8,6,5,5,10
6635240821,6,9,8,9,7
6634125221,8,9,7,7,6
6632456121,7,5,10,10,5
6636841921,5,5,8,7,8
6634130921,10,10,5,6,9
6635764821,7,7,8,10,9
6632567021,9,9,10,6,9
6638856921,9,9,9,8,10
6634404021,5,9,10,7,9
6639488821,6,9,10,10,10
6636769021,5,9,10,9,10
6633231121,8,6,6,5,9
6637974421,6,9,8,9,10
6632421421,8,9,9,8,8
6635476521,5,6,10,7,10
6637766621,9,10,7,9,9
6635704421,10,8,10,7,10
6631204121,5,8,9,10,9
6636149321,6,9,7,7,10
6633546421,6,9,9,8,10
6636943721,9,9,7,7,9
6635996821,10,5,5,9,7
6633953121,8,9,5,7,8
6635337421,9,10,7,10,5
6638297421,10,9,6,10,6
6633534121,6,7,6,9,8
6639718121,5,8,10,7,6
6638528421,6,8,9,8,6
6636143321,9,9,7,6,5
6639640721,6,7,5,6,8
6631390621,7,5,7,7,9
6637146121,9,10,6,5,5
6633594821,10,9,7,10,7
6635053821,9,7,10,5,10
6633088821,9,9,8,5,6
6637366021,10,7,6,7,8
6631377421,9,9,8,5,6
6638518621,8,10,9,9,9
6636788321,5,8,5,5,6
6633755321,5,9,9,10,10
6634037021,8,7,7,6,5
6637842421,8,10,5,9,10
6637781221,9,9,7,5,10
6636667421,9,9,5,7,5
